original_name,cleaned_name
HH1,hh1
HH2,hh2
LN,ln
FS1,fs1
FS2,fs2
FS3,fs3
FSINT,fsint
FS4,fs4
FS5,fs5
FS6,fs6
FS7D,fs7d
FS7M,fs7m
FS7Y,fs7y
FS9,fs9
FS10,fs10
FS17,fs17
FS8H,fs8h
FS8M,fs8m
FS11H,fs11h
FS11M,fs11m
FS12,fs12
FS13,fs13
FS14,fs14
FS15,fs15
FSHINT,fshint
FSFIN,fsfin
CB2M,cb2m
CB2Y,cb2y
CB3,cb3
CB4,cb4
CB5A,cb5a
CB5B,cb5b
CB6,cb6
CB7,cb7
CB8A,cb8a
CB8B,cb8b
CB9,cb9
CB10A,cb10a
CB10B,cb10b
CB11,cb11
CB12A,cb12a
CB12B,cb12b
CB12C,cb12c
CB12D,cb12d
CB12X,cb12x
CB12NR,cb12nr
CL1A,cl1a
CL1B,cl1b
CL1C,cl1c
CL1X,cl1x
CL3,cl3
CL4,cl4
CL5,cl5
CL6A,cl6a
CL6B,cl6b
CL6C,cl6c
CL6D,cl6d
CL6E,cl6e
CL6X,cl6x
CL7,cl7
CL8,cl8
CL9,cl9
CL10,cl10
CL11A,cl11a
CL11B,cl11b
CL11C,cl11c
CL11D,cl11d
CL11E,cl11e
CL11F,cl11f
CL11X,cl11x
CL13,cl13
FCD2A,fcd2a
FCD2B,fcd2b
FCD2C,fcd2c
FCD2D,fcd2d
FCD2E,fcd2e
FCD2F,fcd2f
FCD2G,fcd2g
FCD2H,fcd2h
FCD2I,fcd2i
FCD2J,fcd2j
FCD2K,fcd2k
FCD3,fcd3
FCD4,fcd4
FCD5,fcd5
FCF1,fcf1
FCF2,fcf2
FCF3,fcf3
FCF6,fcf6
FCF8,fcf8
FCF10,fcf10
FCF11,fcf11
FCF12,fcf12
FCF13,fcf13
FCF14,fcf14
FCF15,fcf15
FCF16,fcf16
FCF17,fcf17
FCF18,fcf18
FCF19,fcf19
FCF20,fcf20
FCF21,fcf21
FCF22,fcf22
FCF23,fcf23
FCF24,fcf24
FCF25,fcf25
FCF26,fcf26
PR3,pr3
PR5,pr5
PR6,pr6
PR7,pr7
PR8,pr8
PR9A,pr9a
PR9B,pr9b
PR10,pr10
PR11A,pr11a
PR11B,pr11b
PR12A,pr12a
PR12B,pr12b
PR12C,pr12c
PR12X,pr12x
PR13,pr13
PR15,pr15
FL1,fl1
FL2H,fl2h
FL2M,fl2m
FL3,fl3
FL4A,fl4a
FL4B,fl4b
FL4C,fl4c
FL6A,fl6a
FL6B,fl6b
FL7,fl7
FL9,fl9
FL10,fl10
FL13,fl13
FL14,fl14
FL15,fl15
FL16,fl16
FL17,fl17
FL18,fl18
FLINTRO,flintro
FL19W1,fl19w1
FL19W2,fl19w2
FL19W3,fl19w3
FL19W4,fl19w4
FL19W5,fl19w5
FL19W6,fl19w6
FL19W7,fl19w7
FL19W8,fl19w8
FL19W9,fl19w9
FL19W10,fl19w10
FL19W11,fl19w11
FL19W12,fl19w12
FL19W13,fl19w13
FL19W14,fl19w14
FL19W15,fl19w15
FL19W16,fl19w16
FL19W17,fl19w17
FL19W18,fl19w18
FL19W19,fl19w19
FL19W20,fl19w20
FL19W21,fl19w21
FL19W22,fl19w22
FL19W23,fl19w23
FL19W24,fl19w24
FL19W25,fl19w25
FL19W26,fl19w26
FL19W27,fl19w27
FL19W28,fl19w28
FL19W29,fl19w29
FL19W30,fl19w30
FL19W31,fl19w31
FL19W32,fl19w32
FL19W33,fl19w33
FL19W34,fl19w34
FL19W35,fl19w35
FL19W36,fl19w36
FL19W37,fl19w37
FL19W38,fl19w38
FL19W39,fl19w39
FL19W40,fl19w40
FL19W41,fl19w41
FL19W42,fl19w42
FL19W43,fl19w43
FL19W44,fl19w44
FL19W45,fl19w45
FL19W46,fl19w46
FL19W47,fl19w47
FL19W48,fl19w48
FL19W49,fl19w49
FL19W50,fl19w50
FL19W51,fl19w51
FL19W52,fl19w52
FL19W53,fl19w53
FL19W54,fl19w54
FL19W55,fl19w55
FL19W56,fl19w56
FL19W57,fl19w57
FL19W58,fl19w58
FL19W59,fl19w59
FL19W60,fl19w60
FL19W61,fl19w61
FL20A,fl20a
FL20B,fl20b
FL21,fl21
FLB_INTRO,flb_intro
FLB19W1,flb19w1
FLB19W2,flb19w2
FLB19W3,flb19w3
FLB19W4,flb19w4
FLB19W5,flb19w5
FLB19W6,flb19w6
FLB19W7,flb19w7
FLB19W8,flb19w8
FLB19W9,flb19w9
FLB19W10,flb19w10
FLB19W11,flb19w11
FLB19W12,flb19w12
FLB19W13,flb19w13
FLB19W14,flb19w14
FLB19W15,flb19w15
FLB19W16,flb19w16
FLB19W17,flb19w17
FLB19W18,flb19w18
FLB19W19,flb19w19
FLB19W20,flb19w20
FLB19W21,flb19w21
FLB19W22,flb19w22
FLB19W23,flb19w23
FLB19W24,flb19w24
FLB19W25,flb19w25
FLB19W26,flb19w26
FLB19W27,flb19w27
FLB19W28,flb19w28
FLB19W29,flb19w29
FLB19W30,flb19w30
FLB19W31,flb19w31
FLB19W32,flb19w32
FLB19W33,flb19w33
FLB19W34,flb19w34
FLB19W35,flb19w35
FLB19W36,flb19w36
FLB19W37,flb19w37
FLB19W38,flb19w38
FLB19W39,flb19w39
FLB19W40,flb19w40
FLB19W41,flb19w41
FLB19W42,flb19w42
FLB19W43,flb19w43
FLB19W44,flb19w44
FLB19W45,flb19w45
FLB19W46,flb19w46
FLB19W47,flb19w47
FLB19W48,flb19w48
FLB19W49,flb19w49
FLB19W50,flb19w50
FLB19W51,flb19w51
FLB19W52,flb19w52
FLB19W53,flb19w53
FLB19W54,flb19w54
FLB19W55,flb19w55
FLB19W56,flb19w56
FLB19W57,flb19w57
FLB19W58,flb19w58
FLB19W59,flb19w59
FLB19W60,flb19w60
FLB19W61,flb19w61
FLB19W62,flb19w62
FLB19W63,flb19w63
FLB19W64,flb19w64
FLB19W65,flb19w65
FLB19W66,flb19w66
FLB19W67,flb19w67
FLB19W68,flb19w68
FLB19W69,flb19w69
FLB19W70,flb19w70
FLB19W71,flb19w71
FLB19W72,flb19w72
FLB19W73,flb19w73
FLB19W74,flb19w74
FLB20A,flb20a
FLB20B,flb20b
FLB21,flb21
FL22A,fl22a
FL22B,fl22b
FL22C,fl22c
FL22D,fl22d
FL22E,fl22e
FLB22A,flb22a
FLB22B,flb22b
FLB22C,flb22c
FLB22D,flb22d
FLB22E,flb22e
FL23A,fl23a
FL23B,fl23b
FL23C,fl23c
FL23D,fl23d
FL23E,fl23e
FL23F,fl23f
FL24A,fl24a
FL24B,fl24b
FL24C,fl24c
FL24D,fl24d
FL24E,fl24e
FL25A,fl25a
FL25B,fl25b
FL25C,fl25c
FL25D,fl25d
FL25E,fl25e
FL26,fl26
FL26A,fl26a
FL26B,fl26b
FL26C,fl26c
FL26D,fl26d
FL26E,fl26e
FL26F,fl26f
FL27A,fl27a
FL27B,fl27b
FL27C,fl27c
FL27D,fl27d
FL27E,fl27e
FL28,fl28
FL4XA,fl4xa
FL4XB,fl4xb
FL4XC,fl4xc
FL26X,fl26x
HH4,hh4
HH6,hh6
HH7,hh7
HH52,hh52
HL4,hl4
ED5A,ed5a
ED5B,ed5b
FSAGE,fsage
FSDOI,fsdoi
FSDOB,fsdob
melevel,melevel
fselevel,fselevel
schage,schage
fsinsurance,fsinsurance
fsdisability,fsdisability
ethnicity,ethnicity
caretakerdis,caretakerdis
fsweight,fsweight
fshweight,fshweight
wscore,wscore
windex5,windex5
windex10,windex10
wscoreu,wscoreu
windex5u,windex5u
windex10u,windex10u
wscorer,wscorer
windex5r,windex5r
windex10r,windex10r
PSU,psu
stratum,stratum
