var_name,type,label
hh1,numeric,NA
hh2,numeric,NA
ln,numeric,NA
fs1,numeric,NA
fs2,numeric,NA
fs3,numeric,NA
fsint,numeric,NA
fs4,numeric,NA
fs5,numeric,NA
fs6,numeric,NA
fs7d,numeric,NA
fs7m,numeric,NA
fs7y,numeric,NA
fs9,haven_labelled,NA
fs10,haven_labelled,NA
fs17,haven_labelled,NA
fs8h,numeric,NA
fs8m,numeric,NA
fs11h,numeric,NA
fs11m,numeric,NA
fs12,haven_labelled,NA
fs13,haven_labelled,NA
fs14,haven_labelled,NA
fs15,haven_labelled,NA
fshint,numeric,NA
fsfin,haven_labelled,NA
cb2m,haven_labelled,NA
cb2y,haven_labelled,NA
cb3,numeric,NA
cb4,haven_labelled,NA
cb5a,haven_labelled,NA
cb5b,haven_labelled,NA
cb6,haven_labelled,NA
cb7,haven_labelled,NA
cb8a,haven_labelled,NA
cb8b,haven_labelled,NA
cb9,haven_labelled,NA
cb10a,haven_labelled,NA
cb10b,haven_labelled,NA
cb11,haven_labelled,NA
cb12a,haven_labelled,NA
cb12b,haven_labelled,NA
cb12c,haven_labelled,NA
cb12d,haven_labelled,NA
cb12x,haven_labelled,NA
cb12nr,haven_labelled,NA
cl1a,haven_labelled,NA
cl1b,haven_labelled,NA
cl1c,haven_labelled,NA
cl1x,haven_labelled,NA
cl3,haven_labelled,NA
cl4,haven_labelled,NA
cl5,haven_labelled,NA
cl6a,haven_labelled,NA
cl6b,haven_labelled,NA
cl6c,haven_labelled,NA
cl6d,haven_labelled,NA
cl6e,haven_labelled,NA
cl6x,haven_labelled,NA
cl7,haven_labelled,NA
cl8,haven_labelled,NA
cl9,haven_labelled,NA
cl10,haven_labelled,NA
cl11a,haven_labelled,NA
cl11b,haven_labelled,NA
cl11c,haven_labelled,NA
cl11d,haven_labelled,NA
cl11e,haven_labelled,NA
cl11f,haven_labelled,NA
cl11x,haven_labelled,NA
cl13,haven_labelled,NA
fcd2a,haven_labelled,NA
fcd2b,haven_labelled,NA
fcd2c,haven_labelled,NA
fcd2d,haven_labelled,NA
fcd2e,haven_labelled,NA
fcd2f,haven_labelled,NA
fcd2g,haven_labelled,NA
fcd2h,haven_labelled,NA
fcd2i,haven_labelled,NA
fcd2j,haven_labelled,NA
fcd2k,haven_labelled,NA
fcd3,haven_labelled,NA
fcd4,haven_labelled,NA
fcd5,haven_labelled,NA
fcf1,haven_labelled,NA
fcf2,haven_labelled,NA
fcf3,haven_labelled,NA
fcf6,haven_labelled,NA
fcf8,haven_labelled,NA
fcf10,haven_labelled,NA
fcf11,haven_labelled,NA
fcf12,haven_labelled,NA
fcf13,haven_labelled,NA
fcf14,haven_labelled,NA
fcf15,haven_labelled,NA
fcf16,haven_labelled,NA
fcf17,haven_labelled,NA
fcf18,haven_labelled,NA
fcf19,haven_labelled,NA
fcf20,haven_labelled,NA
fcf21,haven_labelled,NA
fcf22,haven_labelled,NA
fcf23,haven_labelled,NA
fcf24,haven_labelled,NA
fcf25,haven_labelled,NA
fcf26,haven_labelled,NA
pr3,haven_labelled,NA
pr5,haven_labelled,NA
pr6,haven_labelled,NA
pr7,haven_labelled,NA
pr8,haven_labelled,NA
pr9a,haven_labelled,NA
pr9b,haven_labelled,NA
pr10,haven_labelled,NA
pr11a,haven_labelled,NA
pr11b,haven_labelled,NA
pr12a,haven_labelled,NA
pr12b,haven_labelled,NA
pr12c,haven_labelled,NA
pr12x,haven_labelled,NA
pr13,haven_labelled,NA
pr15,haven_labelled,NA
fl1,haven_labelled,NA
fl2h,numeric,NA
fl2m,numeric,NA
fl3,haven_labelled,NA
fl4a,haven_labelled,NA
fl4b,haven_labelled,NA
fl4c,haven_labelled,NA
fl6a,haven_labelled,NA
fl6b,haven_labelled,NA
fl7,haven_labelled,NA
fl9,haven_labelled,NA
fl10,haven_labelled,NA
fl13,haven_labelled,NA
fl14,haven_labelled,NA
fl15,haven_labelled,NA
fl16,haven_labelled,NA
fl17,haven_labelled,NA
fl18,haven_labelled,NA
flintro,haven_labelled,NA
fl19w1,haven_labelled,NA
fl19w2,haven_labelled,NA
fl19w3,haven_labelled,NA
fl19w4,haven_labelled,NA
fl19w5,haven_labelled,NA
fl19w6,haven_labelled,NA
fl19w7,haven_labelled,NA
fl19w8,haven_labelled,NA
fl19w9,haven_labelled,NA
fl19w10,haven_labelled,NA
fl19w11,haven_labelled,NA
fl19w12,haven_labelled,NA
fl19w13,haven_labelled,NA
fl19w14,haven_labelled,NA
fl19w15,haven_labelled,NA
fl19w16,haven_labelled,NA
fl19w17,haven_labelled,NA
fl19w18,haven_labelled,NA
fl19w19,haven_labelled,NA
fl19w20,haven_labelled,NA
fl19w21,haven_labelled,NA
fl19w22,haven_labelled,NA
fl19w23,haven_labelled,NA
fl19w24,haven_labelled,NA
fl19w25,haven_labelled,NA
fl19w26,haven_labelled,NA
fl19w27,haven_labelled,NA
fl19w28,haven_labelled,NA
fl19w29,haven_labelled,NA
fl19w30,haven_labelled,NA
fl19w31,haven_labelled,NA
fl19w32,haven_labelled,NA
fl19w33,haven_labelled,NA
fl19w34,haven_labelled,NA
fl19w35,haven_labelled,NA
fl19w36,haven_labelled,NA
fl19w37,haven_labelled,NA
fl19w38,haven_labelled,NA
fl19w39,haven_labelled,NA
fl19w40,haven_labelled,NA
fl19w41,haven_labelled,NA
fl19w42,haven_labelled,NA
fl19w43,haven_labelled,NA
fl19w44,haven_labelled,NA
fl19w45,haven_labelled,NA
fl19w46,haven_labelled,NA
fl19w47,haven_labelled,NA
fl19w48,haven_labelled,NA
fl19w49,haven_labelled,NA
fl19w50,haven_labelled,NA
fl19w51,haven_labelled,NA
fl19w52,haven_labelled,NA
fl19w53,haven_labelled,NA
fl19w54,haven_labelled,NA
fl19w55,haven_labelled,NA
fl19w56,haven_labelled,NA
fl19w57,haven_labelled,NA
fl19w58,haven_labelled,NA
fl19w59,haven_labelled,NA
fl19w60,haven_labelled,NA
fl19w61,haven_labelled,NA
fl20a,haven_labelled,NA
fl20b,haven_labelled,NA
fl21,haven_labelled,NA
flb_intro,haven_labelled,NA
flb19w1,haven_labelled,NA
flb19w2,haven_labelled,NA
flb19w3,haven_labelled,NA
flb19w4,haven_labelled,NA
flb19w5,haven_labelled,NA
flb19w6,haven_labelled,NA
flb19w7,haven_labelled,NA
flb19w8,haven_labelled,NA
flb19w9,haven_labelled,NA
flb19w10,haven_labelled,NA
flb19w11,haven_labelled,NA
flb19w12,haven_labelled,NA
flb19w13,haven_labelled,NA
flb19w14,haven_labelled,NA
flb19w15,haven_labelled,NA
flb19w16,haven_labelled,NA
flb19w17,haven_labelled,NA
flb19w18,haven_labelled,NA
flb19w19,haven_labelled,NA
flb19w20,haven_labelled,NA
flb19w21,haven_labelled,NA
flb19w22,haven_labelled,NA
flb19w23,haven_labelled,NA
flb19w24,haven_labelled,NA
flb19w25,haven_labelled,NA
flb19w26,haven_labelled,NA
flb19w27,haven_labelled,NA
flb19w28,haven_labelled,NA
flb19w29,haven_labelled,NA
flb19w30,haven_labelled,NA
flb19w31,haven_labelled,NA
flb19w32,haven_labelled,NA
flb19w33,haven_labelled,NA
flb19w34,haven_labelled,NA
flb19w35,haven_labelled,NA
flb19w36,haven_labelled,NA
flb19w37,haven_labelled,NA
flb19w38,haven_labelled,NA
flb19w39,haven_labelled,NA
flb19w40,haven_labelled,NA
flb19w41,haven_labelled,NA
flb19w42,haven_labelled,NA
flb19w43,haven_labelled,NA
flb19w44,haven_labelled,NA
flb19w45,haven_labelled,NA
flb19w46,haven_labelled,NA
flb19w47,haven_labelled,NA
flb19w48,haven_labelled,NA
flb19w49,haven_labelled,NA
flb19w50,haven_labelled,NA
flb19w51,haven_labelled,NA
flb19w52,haven_labelled,NA
flb19w53,haven_labelled,NA
flb19w54,haven_labelled,NA
flb19w55,haven_labelled,NA
flb19w56,haven_labelled,NA
flb19w57,haven_labelled,NA
flb19w58,haven_labelled,NA
flb19w59,haven_labelled,NA
flb19w60,haven_labelled,NA
flb19w61,haven_labelled,NA
flb19w62,haven_labelled,NA
flb19w63,haven_labelled,NA
flb19w64,haven_labelled,NA
flb19w65,haven_labelled,NA
flb19w66,haven_labelled,NA
flb19w67,haven_labelled,NA
flb19w68,haven_labelled,NA
flb19w69,haven_labelled,NA
flb19w70,haven_labelled,NA
flb19w71,haven_labelled,NA
flb19w72,haven_labelled,NA
flb19w73,haven_labelled,NA
flb19w74,haven_labelled,NA
flb20a,haven_labelled,NA
flb20b,haven_labelled,NA
flb21,haven_labelled,NA
fl22a,haven_labelled,NA
fl22b,haven_labelled,NA
fl22c,haven_labelled,NA
fl22d,haven_labelled,NA
fl22e,haven_labelled,NA
flb22a,haven_labelled,NA
flb22b,haven_labelled,NA
flb22c,haven_labelled,NA
flb22d,haven_labelled,NA
flb22e,haven_labelled,NA
fl23a,haven_labelled,NA
fl23b,haven_labelled,NA
fl23c,haven_labelled,NA
fl23d,haven_labelled,NA
fl23e,haven_labelled,NA
fl23f,haven_labelled,NA
fl24a,haven_labelled,NA
fl24b,haven_labelled,NA
fl24c,haven_labelled,NA
fl24d,haven_labelled,NA
fl24e,haven_labelled,NA
fl25a,haven_labelled,NA
fl25b,haven_labelled,NA
fl25c,haven_labelled,NA
fl25d,haven_labelled,NA
fl25e,haven_labelled,NA
fl26,haven_labelled,NA
fl26a,haven_labelled,NA
fl26b,haven_labelled,NA
fl26c,haven_labelled,NA
fl26d,haven_labelled,NA
fl26e,haven_labelled,NA
fl26f,numeric,NA
fl27a,haven_labelled,NA
fl27b,haven_labelled,NA
fl27c,haven_labelled,NA
fl27d,haven_labelled,NA
fl27e,haven_labelled,NA
fl28,haven_labelled,NA
fl4xa,haven_labelled,NA
fl4xb,haven_labelled,NA
fl4xc,haven_labelled,NA
fl26x,haven_labelled,NA
hh4,numeric,NA
hh6,haven_labelled,NA
hh7,haven_labelled,NA
hh52,numeric,NA
hl4,haven_labelled,NA
ed5a,haven_labelled,NA
ed5b,haven_labelled,NA
fsage,haven_labelled,NA
fsdoi,numeric,NA
fsdob,numeric,NA
melevel,haven_labelled,Mother's education
fselevel,haven_labelled,Child's education
schage,haven_labelled,Age at beginning of school year
fsinsurance,haven_labelled,Health insurance
fsdisability,haven_labelled,Child's functional difficulties (age 5-17years)
ethnicity,haven_labelled,Ethnicity of household head
caretakerdis,haven_labelled,Functional difficulties (age 18-49 years)
fsweight,numeric,Children 5-17's sample weight
fshweight,numeric,Children 5-17's household sample weight
wscore,numeric,Combined wealth score
windex5,haven_labelled,Wealth index quintile
windex10,numeric,Wealth index deciles
wscoreu,numeric,Urban wealth score
windex5u,haven_labelled,Urban wealth index quintile
windex10u,numeric,Urban wealth index deciles
wscorer,numeric,Rural wealth score
windex5r,haven_labelled,Rural wealth index quintile
windex10r,numeric,Rural wealth index deciles
psu,numeric,NA
stratum,haven_labelled,Sample stratum
